date,cash,position_value,total_value,daily_return,shares_held,year,month
2022-11-20,96982.59801338297,3859.287220269047,100841.88523365202,0.0005193659469000522,10,2022,11
2022-11-21,96982.59801338297,3861.7725665329435,100844.37057991592,2.464597184137496e-05,10,2022,11
2022-11-22,96982.59801338297,3759.330850140446,100741.92886352341,-0.0010158397122557172,10,2022,11
2022-11-23,96982.59801338297,3738.37056413624,100720.96857751922,-0.00020805920871924677,10,2022,11
2022-11-24,96982.59801338297,3763.1064669238754,100745.70448030684,0.00024558841259136877,10,2022,11
2022-11-25,96982.59801338297,3894.055323187328,100876.6533365703,0.0012997959261782377,10,2022,11
2022-11-26,96982.59801338297,3989.292530260567,100971.89054364355,0.0009440956249360255,10,2022,11
2022-11-27,96982.59801338297,3969.4482632465247,100952.0462766295,-0.00019653258849772204,10,2022,11
2022-11-28,96982.59801338297,3893.4563787464494,100876.05439212942,-0.0007527522948058696,10,2022,11
2022-11-29,96982.59801338297,3881.257059030993,100863.85507241396,-0.00012093375171107201,10,2022,11
2022-11-30,96982.59801338297,3971.27653024801,100953.87454363098,0.0008924849357818676,10,2022,11
2022-12-01,96982.59801338297,4060.6814140165357,101043.27942739951,0.0008856013122100492,10,2022,12
2022-12-02,96982.59801338297,4082.315702318024,101064.913715701,0.00021410912654551417,10,2022,12
2022-12-03,96982.59801338297,4098.957589336632,101081.5556027196,0.00016466532653880428,10,2022,12
2022-12-04,96982.59801338297,4096.819790622408,101079.41780400538,-2.1149246284046797e-05,10,2022,12
2022-12-05,96982.59801338297,4110.184554685999,101092.78256806897,0.00013222042977645287,10,2022,12
2022-12-06,96982.59801338297,4063.4879652568493,101046.08597863982,-0.000461918133450423,10,2022,12
2022-12-07,96982.59801338297,4008.6262190194675,100991.22423240244,-0.0005429378654902006,10,2022,12
2022-12-08,96982.59801338297,4025.07537458704,101007.67338797002,0.0001628770786035183,10,2022,12
2022-12-09,96982.59801338297,4090.9317976208204,101073.5298110038,0.0006519942577116744,10,2022,12
2022-12-10,96982.59801338297,4064.42273698359,101047.02075036656,-0.00026227500599618203,10,2022,12
2022-12-11,96982.59801338297,4084.6864381894175,101067.28445157238,0.0002005373444495806,10,2022,12
2022-12-12,96982.59801338297,4097.844576331982,101080.44258971495,0.0001301918639049493,10,2022,12
2022-12-13,96982.59801338297,4011.334215565361,100993.93222894834,-0.0008558565687900588,10,2022,12
2022-12-14,96982.59801338297,3795.9631490057295,100778.56116238871,-0.00213251491259292,10,2022,12
2022-12-15,96982.59801338297,3811.0184522784443,100793.61646566141,0.0001493899406683763,10,2022,12
2022-12-16,96982.59801338297,3822.17963410249,100804.77764748546,0.00011073302273900687,10,2022,12
2022-12-17,96982.59801338297,3905.2840735193886,100887.88208690236,0.0008244097289467067,10,2022,12
2022-12-18,96982.59801338297,3819.6240629464637,100802.22207632943,-0.0008490614412853814,10,2022,12
